"label","@id","map","@type","skos:sameas","skos:sameas","skos:closematch"
"1st c. bc-3rd c. ad","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1117",,"ceramic_date",,,
"9th c. ad?","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1118",,"ceramic_date",,,
"10r 7_1","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/112",,"munsell colour",,,
"dupondius","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1127","#N/A","#N/A","#N/A",,
"!ae2","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1129/False","#N/A","#N/A","#N/A",,
"gley 5g 8_1","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/113/True","#N/A","#N/A","#N/A",,
"!ae centenionalis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1130/False","#N/A","#N/A","#N/A",,
"!ae3_4","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1132/False","#N/A","#N/A","#N/A",,
"!ae4","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1133/False","#N/A","#N/A","#N/A",,
"!assarion","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1134/False","#N/A","#N/A","#N/A",,
"!decanummium","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1135/False","#N/A","#N/A","#N/A",,
"!dichalkon","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1136/False","#N/A","#N/A","#N/A",,
"!follis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1137/False","#N/A","#N/A","#N/A",,
"!half follis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1138/False","#N/A","#N/A","#N/A",,
"!lepton","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1139/False","#N/A","#N/A","#N/A",,
"!pentanummium","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1140/False","#N/A","#N/A","#N/A",,
"pentanummium","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1140/True","#N/A","#N/A","#N/A",,
"!stamenon (billon trachy)","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1141/False","#N/A","#N/A","#N/A",,
"!stater","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1142/False","#N/A","#N/A","#N/A",,
"!tetrassarion","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1143/False","#N/A","#N/A","#N/A",,
"!tressis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1144/False","#N/A","#N/A","#N/A",,
"tressis","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1144/True","#N/A","#N/A","#N/A",,
"anastasius i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1145","#N/A","#N/A","#N/A",,
"leo vi","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1146","#N/A","#N/A","#N/A",,
"basil ii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1147","#N/A","#N/A","#N/A",,
"constantine vii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1148","#N/A","#N/A","#N/A",,
"romanus i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1149","#N/A","#N/A","#N/A",,
"tile","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/115",,"findtype",,,
"michael iii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1150","#N/A","#N/A","#N/A",,
"arcadius","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1151","#N/A","#N/A","#N/A",,
"basil i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1152","#N/A","#N/A","#N/A",,
"caracalla","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1153","#N/A","#N/A","#N/A",,
"chersonesos","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1154","#N/A","#N/A","#N/A",,
"constans","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1156","#N/A","#N/A","#N/A",,
"constantine i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1157","#N/A","#N/A","#N/A",,
"constantine vi","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1158","#N/A","#N/A","#N/A",,
"constantius ii","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1159","#N/A","#N/A","#N/A",,
"glass","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/116","getty","findtype","http://vocab.getty.edu/aat/300010797",,
"diocletian","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1160","#N/A","#N/A","#N/A",,
"hadrian","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1161","#N/A","#N/A","#N/A",,
"john ii tzmiskes","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1162","#N/A","#N/A","#N/A",,
"justin i","http://ica.tacc.utexas.edu/chersonesos/ark/concept/attribute/1163","#N/A","#N/A","#N/A",,
