ark_type,ark_id,ark_label,common_name,cleaned_alignment,ncbi_reconciliation,ncbi_urls,ncbi_id,eol_uri,notes
faunal_species,438,Fox,Red fox,Vulpes vulpes,Vulpes vulpes,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9627,9627,https://eol.org/pages/328609,NCBI identifies as red fox; EOL identifies as black fox
faunal_species,439,Rodents,Rodent family,Rodentia,Rodentia,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9989,9989,https://eol.org/pages/8677,
faunal_species,440,badger,European badger,Meles meles,Meles meles,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9662,9662,https://eol.org/pages/328046,
faunal_species,441,European Roe Deer,European roe deer,Capreolus capreolus,Capreolus capreolus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9858,9858,https://eol.org/pages/308479,
faunal_species,442,Koulan ?,Kulan,Equus hemionus kulan,Equus hemionus kulan,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=73334,73334,https://eol.org/pages/4452025,uncertain; not linked from NCBI
faunal_species,443,Forest cat,Wildcat,Felis silvestris,Felis silvestris,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9683,9683,https://eol.org/pages/328605,
faunal_species,444,Limpet,Limpet family,Patellidae,Patellidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6462,6462,https://eol.org/pages/2385,
faunal_species,445,Saiga,Saiga,Saiga tatarica,Saiga tatarica,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34875,34875,https://eol.org/pages/1038782,
faunal_species,446,Chicken,Domestic chicken,Gallus gallus,Gallus gallus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9031,9031,https://eol.org/pages/45513816,Not linked from NCBI
faunal_species,447,type of mollusc,Unidentified mollusc,Mollusca,Mollusca,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=6447,6447,https://eol.org/pages/2195,
faunal_species,448,periwinkle,Periwinkle family,Littorinidae,Littorinidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=31212,31212,https://eol.org/pages/2501,
faunal_species,449,beluga sturgeon,Beluga sturgeon,Huso huso,Huso huso,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=61971,61971,https://eol.org/pages/46561184,Not linked from NCBI
faunal_species,450,carp-like fish,Carp,Cyprinus carpio,Cyprinus carpio,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7962,7962,https://eol.org/pages/46581741,Not linked from NCBI
faunal_species,451,Serpenta,Snake,Serpentes,Serpentes,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8570,8570,https://eol.org/pages/46559499,Not linked from NCBI
faunal_species,452,porpoise,Harbor porpoise,Phocoena phocoena,Phocoena phocoena,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9742,9742,https://eol.org/pages/46559342,also noted as herring hog in reports; dead link in NCBI
faunal_species,453,turtle,Turtle family,Testudines,Testudines,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8459,8459,https://eol.org/pages/52570439,
faunal_species,454,marten,Marten family,Martes,Martes,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9658,9658,https://eol.org/pages/34549,uncertain
faunal_species,455,roker,Thornback skate,Raja clavata,Raja clavata,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7781,7781,https://eol.org/pages/46560547,Not linked from NCBI
faunal_species,456,Corsac Fox,Corsac fox,Vulpes corsac,Vulpes corsac,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9629,9629,https://eol.org/pages/327997,
faunal_species,457,ass,Donkey,Equus asinus,Equus asinus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9793,9793,https://eol.org/pages/328647,possibly both terms used for equus asinus
faunal_species,458,Donkey,Donkey,Equus asinus,Equus asinus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9793,9793,https://eol.org/pages/328647,possibly both terms used for equus asinus
faunal_species,,Weasel family,Weasel family,Mustelidae,Mustelidae,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9655,9655,https://eol.org/pages/7670,Only mentioned in report; not in db import; uncertain
faunal_species,,European beaver,European beaver,Castor fiber,Castor fiber,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=10185,10185,https://eol.org/pages/1036116,Only mentioned in report; not in db import
faunal_species,,European polecat,European polecat,Mustela putorius,Mustela putorius,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9668,9668,https://eol.org/pages/311518,Only mentioned in report; not in db import; uncertain; EOL has Putorius putorius
bird_species,,Accipiter gentilis,Northern goshawk,Accipiter gentilis,Accipiter gentilis,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8957,8957,https://eol.org/pages/45511395,Dead link in NCBI
bird_species,,Anas clypeata,Northern shoveler,Anas clypeata,Anas clypeata,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=75838,75838,https://eol.org/pages/45510567,Dead link in NCBI; Spatula clypeata in EOL
bird_species,,Anas platyrhynchos,Mallard,Anas platyrhynchos,Anas platyrhynchos,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8839,8839,https://eol.org/pages/45510559,Dead link in NCBI
bird_species,,Anas sp.,Duck family,Anas sp.,Anas sp.,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42806,42806,https://eol.org/pages/45510553,
bird_species,,Anas strepera,Gadwall,Anas strepera,Anas strepera,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=75861,75861,https://eol.org/pages/52231958,Dead link in NCBI; primary name Mareca strepera in NCBI; under Mareca strepera in EOL as gadwall
bird_species,,Aquila chrysaetos,Golden eagle,Aquila chrysaetos,Aquila chrysaetos,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8962,8962,https://eol.org/pages/45511389,Dead link in NCBI
bird_species,,Aythya ferina,Common pochard,Aythya ferina,Aythya ferina,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=219593,219593,https://eol.org/pages/45510577,Dead link in NCBI
bird_species,,Bucephala clangula,Common goldeneye,Bucephala clangula,Bucephala clangula,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=107022,107022,https://eol.org/pages/45510601,Dead link in NCBI
